id,text,label
98,My name is Rahim Ahmed and my phone number is 01712345678,1
99,I live at Chittagong Bangladesh,0
100,ami thaki Dhaka Bangladesh,0
101,Nusrat Jahan lives in Chittagong Bangladesh and email is david@gmail.com,1
102,amar nam David Miller amar phone 01898765432,1
103,My name is Rahim Ahmed and my phone number is 01898765432,1
104,My name is Nusrat Jahan and my phone number is 01898765432,1
105,My NID number is 9876543210,1
106,amar nam Nusrat Jahan amar phone 01898765432,1
107,Nusrat Jahan lives in Chittagong Bangladesh and email is rahim@gmail.com,1
108,amar email holo john@yahoo.com,1
109,Contact me at john@yahoo.com,1
110,amar nam Rahim Ahmed amar phone 01712345678,1
111,ami thaki New York USA,0
112,ami thaki Chittagong Bangladesh,0
113,My NID number is 9876543210,1
114,John Smith lives in Chittagong Bangladesh and email is john@yahoo.com,1
115,amar email holo david@gmail.com,1
116,amar nam John Smith amar phone 01712345678,1
117,amar nam John Smith amar phone 01712345678,1
118,ami thaki Dhaka Bangladesh,0
119,ami thaki Dhaka Bangladesh,0
120,I live at Dhaka Bangladesh,0
121,My name is Rahim Ahmed and my phone number is 01712345678,1
122,My name is David Miller and my phone number is 01898765432,1
123,My NID number is 9876543210,1
124,My name is David Miller and my phone number is 01898765432,1
125,amar nam Rahim Ahmed amar phone 01955667788,1
126,My name is Nusrat Jahan and my phone number is 01712345678,1
127,My name is Rahim Ahmed and my phone number is 01898765432,1
128,My NID number is 1234567890,1
129,amar email holo john@yahoo.com,1
130,amar email holo john@yahoo.com,1
131,Contact me at rahim@gmail.com,1
132,My NID number is 1234567890,1
133,amar email holo rahim@gmail.com,1
134,ami thaki New York USA,0
135,David Miller lives in Dhaka Bangladesh and email is john@yahoo.com,1
136,Contact me at rahim@gmail.com,1
137,My name is John Smith and my phone number is 01955667788,1
138,amar email holo david@gmail.com,1
139,ami thaki Dhaka Bangladesh,0
140,amar nam Karim Hasan amar phone 01955667788,1
141,My NID number is 1234567890,1
142,My NID number is 1234567890,1
143,My NID number is 9876543210,1
144,My name is John Smith and my phone number is 01955667788,1
145,Contact me at john@yahoo.com,1
146,amar email holo david@gmail.com,1
147,I live at Dhaka Bangladesh,0
148,My name is David Miller and my phone number is 01955667788,1
149,My name is Karim Hasan and my phone number is 01898765432,1
150,My name is Rahim Ahmed and my phone number is 01955667788,1
151,My name is David Miller and my phone number is 01712345678,1
152,Nusrat Jahan lives in Dhaka Bangladesh and email is john@yahoo.com,1
153,amar email holo rahim@gmail.com,1
154,My NID number is 9876543210,1
155,Contact me at john@yahoo.com,1
156,My NID number is 9876543210,1
157,amar email holo john@yahoo.com,1
158,amar email holo david@gmail.com,1
159,My NID number is 9876543210,1
160,My NID number is 1234567890,1
161,I live at Chittagong Bangladesh,0
162,My NID number is 9876543210,1
163,amar email holo rahim@gmail.com,1
164,amar nam Rahim Ahmed amar phone 01898765432,1
165,David Miller lives in Chittagong Bangladesh and email is david@gmail.com,1
166,My NID number is 1234567890,1
167,John Smith lives in Dhaka Bangladesh and email is john@yahoo.com,1
168,I live at New York USA,0
169,amar email holo john@yahoo.com,1
170,I live at Chittagong Bangladesh,0
171,ami thaki Chittagong Bangladesh,0
172,ami thaki Chittagong Bangladesh,0
173,My NID number is 1234567890,1
174,Karim Hasan lives in Dhaka Bangladesh and email is john@yahoo.com,1
175,David Miller lives in Chittagong Bangladesh and email is rahim@gmail.com,1
176,I live at New York USA,0
177,My NID number is 1234567890,1
178,amar email holo david@gmail.com,1
179,My NID number is 1234567890,1
180,Karim Hasan lives in Chittagong Bangladesh and email is david@gmail.com,1
181,ami thaki Dhaka Bangladesh,0
182,Contact me at david@gmail.com,1
183,ami thaki Dhaka Bangladesh,0
184,I live at New York USA,0
185,My NID number is 1234567890,1
186,amar nam John Smith amar phone 01955667788,1
187,My name is Karim Hasan and my phone number is 01898765432,1
188,My name is Karim Hasan and my phone number is 01712345678,1
189,amar nam Nusrat Jahan amar phone 01955667788,1
190,Contact me at rahim@gmail.com,1
191,ami thaki New York USA,0
192,Contact me at john@yahoo.com,1
193,My NID number is 1234567890,1
194,amar email holo rahim@gmail.com,1
195,I live at New York USA,0
196,amar email holo rahim@gmail.com,1
197,amar nam David Miller amar phone 01898765432,1
198,My NID number is 9876543210,1
199,ami thaki Dhaka Bangladesh,0
200,ami thaki Chittagong Bangladesh,0
201,amar email holo rahim@gmail.com,1
202,My name is Karim Hasan and my phone number is 01712345678,1
203,amar nam Rahim Ahmed amar phone 01898765432,1
204,David Miller lives in Chittagong Bangladesh and email is rahim@gmail.com,1
205,My name is John Smith and my phone number is 01955667788,1
206,I live at Chittagong Bangladesh,0
207,I live at Dhaka Bangladesh,0
208,Nusrat Jahan lives in Chittagong Bangladesh and email is david@gmail.com,1
209,Karim Hasan lives in Dhaka Bangladesh and email is david@gmail.com,1
210,Contact me at david@gmail.com,1
211,amar nam Nusrat Jahan amar phone 01955667788,1
212,Contact me at john@yahoo.com,1
213,ami thaki Dhaka Bangladesh,0
214,amar nam Rahim Ahmed amar phone 01898765432,1
215,I live at New York USA,0
216,Rahim Ahmed lives in Dhaka Bangladesh and email is john@yahoo.com,1
217,I live at New York USA,0
218,Contact me at john@yahoo.com,1
219,ami thaki Chittagong Bangladesh,0
220,Nusrat Jahan lives in Chittagong Bangladesh and email is john@yahoo.com,1
221,My name is John Smith and my phone number is 01712345678,1
222,My name is John Smith and my phone number is 01898765432,1
223,I live at Dhaka Bangladesh,0
224,I live at Chittagong Bangladesh,0
225,My name is Nusrat Jahan and my phone number is 01955667788,1
226,My NID number is 9876543210,1
227,I live at New York USA,0
228,My name is Rahim Ahmed and my phone number is 01898765432,1
229,My name is Karim Hasan and my phone number is 01712345678,1
230,amar email holo rahim@gmail.com,1
231,I live at Chittagong Bangladesh,0
232,amar email holo rahim@gmail.com,1
233,Karim Hasan lives in Dhaka Bangladesh and email is john@yahoo.com,1
234,I live at Chittagong Bangladesh,0
235,ami thaki Dhaka Bangladesh,0
236,I live at Chittagong Bangladesh,0
237,amar nam John Smith amar phone 01712345678,1
238,My NID number is 1234567890,1
239,Contact me at john@yahoo.com,1
240,My name is Rahim Ahmed and my phone number is 01712345678,1
241,amar nam Karim Hasan amar phone 01955667788,1
242,I live at Chittagong Bangladesh,0
243,My NID number is 1234567890,1
244,amar email holo john@yahoo.com,1
245,My NID number is 9876543210,1
246,John Smith lives in New York USA and email is john@yahoo.com,1
247,My NID number is 9876543210,1
248,My name is Karim Hasan and my phone number is 01955667788,1
249,ami thaki Chittagong Bangladesh,0
250,amar nam Nusrat Jahan amar phone 01898765432,1
251,Karim Hasan lives in Chittagong Bangladesh and email is rahim@gmail.com,1
252,Contact me at john@yahoo.com,1
253,ami thaki Dhaka Bangladesh,0
254,Contact me at david@gmail.com,1
255,amar email holo john@yahoo.com,1
256,Contact me at john@yahoo.com,1
257,Contact me at rahim@gmail.com,1
258,David Miller lives in Chittagong Bangladesh and email is john@yahoo.com,1
259,ami thaki Dhaka Bangladesh,0
260,ami thaki Chittagong Bangladesh,0
261,amar nam John Smith amar phone 01712345678,1
262,ami thaki Chittagong Bangladesh,0
263,amar email holo john@yahoo.com,1
264,Contact me at david@gmail.com,1
265,My name is Nusrat Jahan and my phone number is 01898765432,1
266,ami thaki New York USA,0
267,Rahim Ahmed lives in Dhaka Bangladesh and email is rahim@gmail.com,1
268,Contact me at rahim@gmail.com,1
269,John Smith lives in Dhaka Bangladesh and email is john@yahoo.com,1
270,I live at Dhaka Bangladesh,0
271,amar email holo david@gmail.com,1
272,amar email holo david@gmail.com,1
273,amar nam David Miller amar phone 01898765432,1
274,amar email holo rahim@gmail.com,1
275,My NID number is 1234567890,1
276,My NID number is 9876543210,1
277,ami thaki Chittagong Bangladesh,0
278,amar nam David Miller amar phone 01955667788,1
279,amar email holo david@gmail.com,1
280,My name is Rahim Ahmed and my phone number is 01712345678,1
281,Contact me at rahim@gmail.com,1
282,amar email holo rahim@gmail.com,1
283,My name is Nusrat Jahan and my phone number is 01712345678,1
284,Contact me at john@yahoo.com,1
285,amar email holo david@gmail.com,1
286,ami thaki Dhaka Bangladesh,0
287,Rahim Ahmed lives in Dhaka Bangladesh and email is john@yahoo.com,1
288,I live at Chittagong Bangladesh,0
289,Contact me at john@yahoo.com,1
290,amar nam Rahim Ahmed amar phone 01712345678,1
291,amar nam Rahim Ahmed amar phone 01898765432,1
292,ami thaki New York USA,0
293,ami thaki Chittagong Bangladesh,0
294,Karim Hasan lives in Dhaka Bangladesh and email is david@gmail.com,1
295,amar nam David Miller amar phone 01898765432,1
296,Karim Hasan lives in New York USA and email is rahim@gmail.com,1
297,My name is Karim Hasan and my phone number is 01898765432,1
298,I live at Chittagong Bangladesh,0
299,amar nam Nusrat Jahan amar phone 01712345678,1
300,ami thaki New York USA,0
301,My name is Rahim Ahmed and my phone number is 01712345678,1
302,Contact me at rahim@gmail.com,1
303,Karim Hasan lives in New York USA and email is rahim@gmail.com,1
304,I live at Chittagong Bangladesh,0
305,My name is John Smith and my phone number is 01955667788,1
306,My NID number is 1234567890,1
307,amar nam Nusrat Jahan amar phone 01898765432,1
308,John Smith lives in Chittagong Bangladesh and email is rahim@gmail.com,1
309,My NID number is 9876543210,1
310,Contact me at rahim@gmail.com,1
311,Contact me at john@yahoo.com,1
312,ami thaki New York USA,0
313,Contact me at john@yahoo.com,1
314,My NID number is 1234567890,1
315,Karim Hasan lives in New York USA and email is rahim@gmail.com,1
316,Contact me at john@yahoo.com,1
317,amar nam Karim Hasan amar phone 01898765432,1
318,amar nam John Smith amar phone 01712345678,1
319,Contact me at david@gmail.com,1
320,David Miller lives in Dhaka Bangladesh and email is john@yahoo.com,1
321,I live at Dhaka Bangladesh,0
322,Contact me at rahim@gmail.com,1
323,amar nam David Miller amar phone 01955667788,1
324,Contact me at john@yahoo.com,1
325,amar nam Karim Hasan amar phone 01898765432,1
326,I live at Chittagong Bangladesh,0
327,amar email holo rahim@gmail.com,1
328,Contact me at david@gmail.com,1
329,John Smith lives in New York USA and email is john@yahoo.com,1
330,amar nam Nusrat Jahan amar phone 01712345678,1
331,Contact me at rahim@gmail.com,1
332,amar nam Nusrat Jahan amar phone 01955667788,1
333,My name is David Miller and my phone number is 01712345678,1
334,My name is Nusrat Jahan and my phone number is 01712345678,1
335,I live at New York USA,0
336,ami thaki Dhaka Bangladesh,0
337,Rahim Ahmed lives in New York USA and email is rahim@gmail.com,1
338,Nusrat Jahan lives in Dhaka Bangladesh and email is john@yahoo.com,1
339,Karim Hasan lives in Chittagong Bangladesh and email is rahim@gmail.com,1
340,My name is Nusrat Jahan and my phone number is 01712345678,1
341,Karim Hasan lives in New York USA and email is rahim@gmail.com,1
342,amar nam John Smith amar phone 01898765432,1
343,amar email holo rahim@gmail.com,1
344,ami thaki New York USA,0
345,I live at New York USA,0
346,My NID number is 9876543210,1
347,John Smith lives in Chittagong Bangladesh and email is rahim@gmail.com,1
348,I live at New York USA,0
349,I live at Dhaka Bangladesh,0
350,amar nam Nusrat Jahan amar phone 01955667788,1
351,ami thaki Chittagong Bangladesh,0
352,I live at New York USA,0
353,amar email holo rahim@gmail.com,1
354,My name is David Miller and my phone number is 01955667788,1
355,Contact me at rahim@gmail.com,1
356,Rahim Ahmed lives in New York USA and email is david@gmail.com,1
357,Rahim Ahmed lives in New York USA and email is david@gmail.com,1
358,ami thaki Dhaka Bangladesh,0
359,David Miller lives in Chittagong Bangladesh and email is david@gmail.com,1
360,amar nam John Smith amar phone 01712345678,1
361,amar email holo john@yahoo.com,1
362,My name is John Smith and my phone number is 01898765432,1
363,My NID number is 9876543210,1
364,I live at Chittagong Bangladesh,0
365,John Smith lives in Chittagong Bangladesh and email is rahim@gmail.com,1
366,amar email holo john@yahoo.com,1
367,Contact me at john@yahoo.com,1
368,My name is Karim Hasan and my phone number is 01955667788,1
369,amar nam David Miller amar phone 01955667788,1
370,My name is John Smith and my phone number is 01955667788,1
371,amar email holo david@gmail.com,1
372,Rahim Ahmed lives in New York USA and email is john@yahoo.com,1
373,amar email holo david@gmail.com,1
374,My name is Karim Hasan and my phone number is 01898765432,1
375,amar email holo john@yahoo.com,1
376,I live at Dhaka Bangladesh,0
377,ami thaki New York USA,0
378,My name is Nusrat Jahan and my phone number is 01898765432,1
379,I live at Chittagong Bangladesh,0
380,My NID number is 1234567890,1
381,amar nam John Smith amar phone 01898765432,1
382,John Smith lives in Dhaka Bangladesh and email is david@gmail.com,1
383,ami thaki New York USA,0
384,ami thaki New York USA,0
385,My name is John Smith and my phone number is 01898765432,1
386,My NID number is 1234567890,1
387,amar email holo john@yahoo.com,1
388,Contact me at john@yahoo.com,1
389,My NID number is 9876543210,1
390,Contact me at john@yahoo.com,1
391,ami thaki Dhaka Bangladesh,0
392,I live at New York USA,0
393,I live at Dhaka Bangladesh,0
394,I live at Dhaka Bangladesh,0
395,Rahim Ahmed lives in Dhaka Bangladesh and email is john@yahoo.com,1
396,amar email holo rahim@gmail.com,1
397,My name is Rahim Ahmed and my phone number is 01955667788,1
398,amar nam Rahim Ahmed amar phone 01955667788,1
399,My NID number is 9876543210,1
400,I live at New York USA,0
401,I live at Chittagong Bangladesh,0
402,Nusrat Jahan lives in Dhaka Bangladesh and email is rahim@gmail.com,1
403,amar email holo rahim@gmail.com,1
404,ami thaki Chittagong Bangladesh,0
405,amar email holo john@yahoo.com,1
406,ami thaki Chittagong Bangladesh,0
407,Contact me at john@yahoo.com,1
408,amar nam Karim Hasan amar phone 01955667788,1
409,amar nam Nusrat Jahan amar phone 01712345678,1
410,ami thaki Dhaka Bangladesh,0
411,I live at New York USA,0
412,My name is Karim Hasan and my phone number is 01955667788,1
413,Karim Hasan lives in New York USA and email is david@gmail.com,1
414,amar email holo rahim@gmail.com,1
415,Contact me at rahim@gmail.com,1
416,ami thaki Chittagong Bangladesh,0
417,amar email holo david@gmail.com,1
418,John Smith lives in New York USA and email is david@gmail.com,1
419,My name is Nusrat Jahan and my phone number is 01898765432,1
420,My NID number is 9876543210,1
421,My NID number is 1234567890,1
422,My name is Nusrat Jahan and my phone number is 01898765432,1
423,Contact me at rahim@gmail.com,1
424,Contact me at john@yahoo.com,1
425,amar email holo john@yahoo.com,1
426,I live at Dhaka Bangladesh,0
427,amar nam John Smith amar phone 01955667788,1
428,My name is David Miller and my phone number is 01955667788,1
429,amar nam Karim Hasan amar phone 01712345678,1
430,My NID number is 1234567890,1
431,amar email holo john@yahoo.com,1
432,ami thaki Chittagong Bangladesh,0
433,Contact me at rahim@gmail.com,1
434,Contact me at rahim@gmail.com,1
435,Nusrat Jahan lives in Dhaka Bangladesh and email is john@yahoo.com,1
436,Karim Hasan lives in Chittagong Bangladesh and email is david@gmail.com,1
437,ami thaki Chittagong Bangladesh,0
438,Contact me at david@gmail.com,1
439,My name is Nusrat Jahan and my phone number is 01898765432,1
440,I live at New York USA,0
441,My name is Nusrat Jahan and my phone number is 01955667788,1
442,Contact me at rahim@gmail.com,1
443,ami thaki Dhaka Bangladesh,0
444,My NID number is 9876543210,1
445,Nusrat Jahan lives in New York USA and email is rahim@gmail.com,1
446,amar nam Rahim Ahmed amar phone 01955667788,1
447,ami thaki Chittagong Bangladesh,0
448,amar nam Nusrat Jahan amar phone 01955667788,1
449,amar nam Rahim Ahmed amar phone 01955667788,1
450,amar nam Nusrat Jahan amar phone 01955667788,1
451,My NID number is 1234567890,1
452,I live at Chittagong Bangladesh,0
453,Rahim Ahmed lives in Chittagong Bangladesh and email is john@yahoo.com,1
454,amar email holo david@gmail.com,1
455,I live at New York USA,0
456,I live at Dhaka Bangladesh,0
457,amar nam David Miller amar phone 01955667788,1
458,My NID number is 1234567890,1
459,My name is Rahim Ahmed and my phone number is 01955667788,1
460,amar nam John Smith amar phone 01955667788,1
461,My NID number is 1234567890,1
462,Contact me at rahim@gmail.com,1
463,amar email holo john@yahoo.com,1
464,amar email holo rahim@gmail.com,1
465,ami thaki Dhaka Bangladesh,0
466,ami thaki New York USA,0
467,amar nam David Miller amar phone 01898765432,1
468,My NID number is 9876543210,1
469,My NID number is 9876543210,1
470,I live at Dhaka Bangladesh,0
471,I live at Chittagong Bangladesh,0
472,My NID number is 9876543210,1
473,My name is John Smith and my phone number is 01712345678,1
474,amar email holo david@gmail.com,1
475,My name is John Smith and my phone number is 01898765432,1
476,Contact me at john@yahoo.com,1
477,My name is David Miller and my phone number is 01898765432,1
478,amar email holo david@gmail.com,1
479,I live at Chittagong Bangladesh,0
480,ami thaki New York USA,0
481,My name is David Miller and my phone number is 01955667788,1
482,I live at New York USA,0
483,I live at New York USA,0
484,My name is Rahim Ahmed and my phone number is 01898765432,1
485,amar email holo john@yahoo.com,1
486,I live at Chittagong Bangladesh,0
487,amar email holo david@gmail.com,1
488,amar email holo john@yahoo.com,1
489,My NID number is 9876543210,1
490,amar nam Karim Hasan amar phone 01955667788,1
491,amar nam Nusrat Jahan amar phone 01955667788,1
492,amar email holo rahim@gmail.com,1
493,Nusrat Jahan lives in Dhaka Bangladesh and email is john@yahoo.com,1
494,ami thaki New York USA,0
495,My name is David Miller and my phone number is 01955667788,1
496,ami thaki Dhaka Bangladesh,0
497,ami thaki New York USA,0
498,ami thaki Dhaka Bangladesh,0
499,I live at New York USA,0
500,David Miller lives in Chittagong Bangladesh and email is rahim@gmail.com,1
501,John Smith lives in Chittagong Bangladesh and email is david@gmail.com,1
502,My NID number is 1234567890,1
503,I live at New York USA,0
504,Contact me at rahim@gmail.com,1
505,I live at Dhaka Bangladesh,0
506,amar email holo john@yahoo.com,1
507,amar email holo rahim@gmail.com,1
508,amar nam John Smith amar phone 01955667788,1
509,John Smith lives in Chittagong Bangladesh and email is john@yahoo.com,1
510,My NID number is 1234567890,1
511,My NID number is 9876543210,1
512,Contact me at john@yahoo.com,1
513,I live at Dhaka Bangladesh,0
514,amar email holo rahim@gmail.com,1
515,ami thaki Dhaka Bangladesh,0
516,amar email holo david@gmail.com,1
517,John Smith lives in New York USA and email is david@gmail.com,1
518,amar email holo john@yahoo.com,1
519,Karim Hasan lives in Chittagong Bangladesh and email is john@yahoo.com,1
520,I live at Dhaka Bangladesh,0
521,ami thaki Dhaka Bangladesh,0
522,ami thaki Dhaka Bangladesh,0
523,ami thaki Dhaka Bangladesh,0
524,amar email holo david@gmail.com,1
525,I live at Chittagong Bangladesh,0
526,ami thaki Chittagong Bangladesh,0
527,amar nam Karim Hasan amar phone 01898765432,1
528,ami thaki Chittagong Bangladesh,0
529,I live at Dhaka Bangladesh,0
530,Contact me at rahim@gmail.com,1
531,My NID number is 1234567890,1
532,My name is Nusrat Jahan and my phone number is 01955667788,1
533,My name is Karim Hasan and my phone number is 01712345678,1
534,David Miller lives in Chittagong Bangladesh and email is john@yahoo.com,1
535,My NID number is 9876543210,1
536,Contact me at john@yahoo.com,1
537,Contact me at rahim@gmail.com,1
538,amar email holo rahim@gmail.com,1
539,I live at Dhaka Bangladesh,0
540,Contact me at rahim@gmail.com,1
541,amar nam David Miller amar phone 01898765432,1
542,John Smith lives in Chittagong Bangladesh and email is john@yahoo.com,1
543,My name is John Smith and my phone number is 01898765432,1
544,My NID number is 1234567890,1
545,My NID number is 1234567890,1
546,amar email holo john@yahoo.com,1
547,I live at New York USA,0
548,My name is Rahim Ahmed and my phone number is 01898765432,1
549,My NID number is 1234567890,1
550,My name is Nusrat Jahan and my phone number is 01898765432,1
551,I live at Dhaka Bangladesh,0
552,Karim Hasan lives in Chittagong Bangladesh and email is david@gmail.com,1
553,John Smith lives in Chittagong Bangladesh and email is rahim@gmail.com,1
554,Contact me at john@yahoo.com,1
555,David Miller lives in Chittagong Bangladesh and email is david@gmail.com,1
556,amar email holo john@yahoo.com,1
557,ami thaki New York USA,0
558,amar email holo david@gmail.com,1
559,My name is Nusrat Jahan and my phone number is 01712345678,1
560,I live at Dhaka Bangladesh,0
561,amar nam Nusrat Jahan amar phone 01712345678,1
562,ami thaki Chittagong Bangladesh,0
563,My name is Karim Hasan and my phone number is 01898765432,1
564,amar email holo john@yahoo.com,1
565,Nusrat Jahan lives in Dhaka Bangladesh and email is rahim@gmail.com,1
566,Contact me at rahim@gmail.com,1
567,Contact me at john@yahoo.com,1
568,amar nam Rahim Ahmed amar phone 01898765432,1
569,ami thaki New York USA,0
570,amar email holo john@yahoo.com,1
571,amar email holo rahim@gmail.com,1
572,Contact me at rahim@gmail.com,1
573,ami thaki New York USA,0
574,ami thaki Chittagong Bangladesh,0
575,My name is Karim Hasan and my phone number is 01955667788,1
576,Contact me at john@yahoo.com,1
577,ami thaki New York USA,0
578,ami thaki New York USA,0
579,amar nam Karim Hasan amar phone 01712345678,1
580,My NID number is 9876543210,1
581,I live at Dhaka Bangladesh,0
582,My name is Nusrat Jahan and my phone number is 01955667788,1
583,amar nam Karim Hasan amar phone 01898765432,1
584,My name is David Miller and my phone number is 01712345678,1
585,My NID number is 1234567890,1
586,Karim Hasan lives in New York USA and email is rahim@gmail.com,1
587,Contact me at rahim@gmail.com,1
588,My NID number is 9876543210,1
589,My name is David Miller and my phone number is 01955667788,1
590,Contact me at john@yahoo.com,1
591,amar nam John Smith amar phone 01898765432,1
592,John Smith lives in Dhaka Bangladesh and email is david@gmail.com,1
593,amar nam Karim Hasan amar phone 01955667788,1
594,I live at Chittagong Bangladesh,0
595,Contact me at rahim@gmail.com,1
596,Rahim Ahmed lives in Chittagong Bangladesh and email is john@yahoo.com,1
597,Nusrat Jahan lives in Dhaka Bangladesh and email is rahim@gmail.com,1
598,ami thaki Chittagong Bangladesh,0
599,I live at Dhaka Bangladesh,0
600,I live at Dhaka Bangladesh,0
601,Contact me at john@yahoo.com,1
602,My NID number is 9876543210,1
603,I live at Dhaka Bangladesh,0
604,David Miller lives in Chittagong Bangladesh and email is rahim@gmail.com,1
605,I live at Chittagong Bangladesh,0
606,I live at Dhaka Bangladesh,0
607,My NID number is 9876543210,1
608,Contact me at rahim@gmail.com,1
609,amar email holo david@gmail.com,1
610,David Miller lives in New York USA and email is rahim@gmail.com,1
611,My name is John Smith and my phone number is 01898765432,1
612,amar nam Rahim Ahmed amar phone 01712345678,1
613,My NID number is 1234567890,1
614,My NID number is 9876543210,1
615,I live at Dhaka Bangladesh,0
616,amar nam Nusrat Jahan amar phone 01898765432,1
617,David Miller lives in Chittagong Bangladesh and email is john@yahoo.com,1
618,ami thaki Chittagong Bangladesh,0
619,My name is Karim Hasan and my phone number is 01955667788,1
620,Contact me at david@gmail.com,1
621,amar nam Nusrat Jahan amar phone 01898765432,1
622,amar nam Karim Hasan amar phone 01955667788,1
623,Karim Hasan lives in New York USA and email is john@yahoo.com,1
624,My name is David Miller and my phone number is 01955667788,1
625,ami thaki New York USA,0
626,My name is David Miller and my phone number is 01955667788,1
627,My name is Nusrat Jahan and my phone number is 01898765432,1
628,amar nam Karim Hasan amar phone 01955667788,1
629,amar nam Karim Hasan amar phone 01955667788,1
630,My name is Karim Hasan and my phone number is 01955667788,1
631,My name is Nusrat Jahan and my phone number is 01955667788,1
632,My name is Karim Hasan and my phone number is 01898765432,1
633,amar nam Karim Hasan amar phone 01712345678,1
634,amar nam Rahim Ahmed amar phone 01712345678,1
635,amar email holo rahim@gmail.com,1
636,I live at Chittagong Bangladesh,0
637,Contact me at john@yahoo.com,1
638,I live at New York USA,0
639,amar nam Rahim Ahmed amar phone 01712345678,1
640,amar nam John Smith amar phone 01712345678,1
641,Contact me at david@gmail.com,1
642,Contact me at david@gmail.com,1
643,I live at Dhaka Bangladesh,0
